event_id,investigation_type,accident_number,event_date,location,country,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,is_destroyed
20001213X25487,Accident,LAX88FA162,1988-04-16,"MARICOPA, CA",United States,,,Fatal(2),Destroyed,,Cessna,210l,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,cruise,True
20001213X25543,Accident,MKC88LA078,1988-04-16,"RED CLOUD, NE",United States,7V7,RED CLOUD,Non-Fatal,Substantial,,Piper,pa-25,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,False
20001213X25542,Accident,MKC88LA077,1988-04-16,"BELTON, MO",United States,19K,VILLNAVE,Non-Fatal,Substantial,,Stinson,108-1,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,False
20001213X25524,Accident,MIA88LA153,1988-04-16,"OLIVE BRANCH, MS",United States,OLV,OLIVE BRANCH,Non-Fatal,Substantial,,Cessna,152,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,False
20001213X25522,Accident,MIA88LA151,1988-04-16,"ORLANDO, FL",United States,,,Non-Fatal,Substantial,,Cessna,152,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,cruise,False
20001213X25451,Accident,DEN88FA098,1988-04-16,"PINTURA, UT",United States,,,Fatal(3),Substantial,,Piper,pa-28r-200,No,1.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,cruise,False
20001213X25434,Accident,CHI88LA100,1988-04-16,"MT. VERNON, IL",United States,MVN,MT. VERNON,Non-Fatal,Substantial,,Cessna,182d,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,False
20001213X25398,Accident,ATL88LA145,1988-04-16,"BARNWELL, SC",United States,BNL,BARNWELL,Non-Fatal,Substantial,,Piper,pa-38-112,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,takeoff,False
20001213X25367,Accident,ANC88LA044,1988-04-16,"TALKEETNA, AK",United States,,,Non-Fatal,Substantial,,Aeronca,7dc,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,takeoff,False
20001213X25560,Accident,NYC88LA127,1988-04-17,"SLATINGTON, PA",United States,69N,SLATINGTON,Non-Fatal,Destroyed,,Piper,pa-28-180,No,1.0,reciprocating,personal,0.0,0.0,1.0,1.0,vmc,landing,True
20001213X25489,Accident,LAX88FA168,1988-04-17,"ESSEX, CA",United States,,,Fatal(2),Destroyed,,Piper,pa-28-140,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,unk,cruise,True
